"id","uuid","repetitions","weight","exerciseId","dateRegistered"
1,"23c08fd1-3bc3-46a5-9883-a71598435ca8",6,"10.00",1,"2025-01-19 18:10:22.818"
2,"888d9547-d6c8-4108-be15-915f61ca1bc8",12,"14.00",9,"2025-01-19 23:53:36.076"
3,"a1e12525-71b5-4579-b81d-a6ef3e3f8e7c",12,"14.00",9,"2025-01-19 23:53:42.47"
4,"2919741c-a458-4808-8e6c-8c11593ea7d2",11,"14.00",9,"2025-01-19 23:53:46.758"
5,"d79725a2-b71c-408d-87c0-93e2647a9c4d",9,"17.60",9,"2025-01-26 06:41:00.511"
6,"3faf4682-8abf-4fd7-82e5-b111ef00bc51",9,"17.60",9,"2025-01-26 06:47:25.48"
12,"96035d38-de06-433e-b0b2-e7d321360645",8,"10.00",1,"2025-01-26 17:51:21.206"
13,"1880ff72-0816-4ff2-a787-479381bcc031",8,"10.00",1,"2025-01-26 17:54:34.392"
14,"44f6d110-f635-4f16-9e18-d29253a88b00",6,"10.00",1,"2025-01-26 17:57:50.631"
15,"d50454cd-793c-4428-bcd3-b0f2a1175843",6,"10.00",2,"2025-01-26 18:06:18.608"
16,"56d179e9-4338-4568-aa25-bb7c7b0596b8",6,"10.00",1,"2025-01-26 18:06:54.953"
17,"4a4cb56c-4246-42e9-8d2d-38c2b55d68e7",4,"10.00",2,"2025-01-26 18:09:47.353"
18,"ea8d1d96-6cdb-4c60-b08a-6f78fb5c42dc",9,"30.00",3,"2025-01-26 18:16:23.033"
19,"100e1af0-8828-4497-ae37-52a4b2304c43",6,"30.00",3,"2025-01-26 18:19:08.48"
20,"40785725-accb-41c1-846b-852adf5369f0",6,"30.00",3,"2025-01-26 18:22:30.323"
21,"765e89da-1065-45f5-9b45-d5f9623e47b1",8,"20.00",6,"2025-01-26 18:29:02.768"
22,"1fb92584-8789-4e4c-9b9a-b1d5cf1de6ec",8,"20.00",6,"2025-01-26 18:31:20.111"
23,"11f92b65-c48f-4891-a8c6-bfed1540d7d4",9,"20.00",6,"2025-01-26 18:35:36.038"
24,"db6159a3-36a5-4d8c-a119-48b1510e2e26",8,"17.60",9,"2025-02-02 22:42:53.6"
25,"24f84dfd-d8d4-40b4-8ad9-242ee26684fd",8,"17.60",9,"2025-02-02 22:43:07.144"
26,"67ffe759-950b-4652-a9ff-bb84459a1049",8,"17.60",9,"2025-02-03 15:26:53.061"
27,"3b52979a-32ae-403b-bd00-f14fcf8662e6",9,"17.60",9,"2025-02-03 15:31:37.059"
28,"49c68858-e2eb-49f3-87a8-5ff044815c14",8,"40.00",3,"2025-02-05 01:59:26.896"
29,"339e3782-fa33-4a5d-8801-349b6614361d",6,"40.00",3,"2025-02-05 02:02:18.248"
30,"b0d3e50a-ca9b-4592-aea3-5a21a3df885f",6,"40.00",3,"2025-02-05 02:04:56.333"
31,"73d62cda-c5ae-46b8-b01f-aa73ad2d6eb7",6,"40.00",3,"2025-02-05 02:07:53.71"
32,"80c781cf-4468-4838-ba0d-4653aa19b65b",6,"10.00",1,"2025-02-05 02:14:59.327"
33,"bf011e78-3aa0-4998-8a99-57445d382ec8",6,"10.00",1,"2025-02-05 02:17:12.714"
34,"2801ce7e-8e89-4785-b60b-37799ec2c3ef",5,"10.00",1,"2025-02-05 02:20:04.807"
35,"1df6b298-5a22-4a1d-b1b3-9b71ad2bbf03",5,"10.00",2,"2025-02-05 02:22:51.47"
36,"1daea622-e3e4-4e5e-b216-e8b93c2698fb",5,"10.00",1,"2025-02-05 02:22:58.123"
37,"4e2cd0f7-9dc3-4ecc-8e2e-6b3b9949c39c",8,"10.00",6,"2025-02-05 02:31:06.966"
38,"76270c15-bb59-4052-a191-f8011c7f6971",6,"10.00",6,"2025-02-05 02:32:55.858"
39,"c606a84b-3ca9-4dcc-8630-7f5f4cf12d5b",8,"35.00",10,"2025-02-08 00:57:51.92"
40,"33af5936-ce36-49f9-a9d7-2fb1bba5722a",8,"35.00",10,"2025-02-08 01:00:15.418"
41,"e4ae8015-581f-44fe-a146-021ae5ddc3c9",8,"35.00",10,"2025-02-08 01:03:13.352"
42,"8708c3d0-c069-4f29-9c4e-da79cfe3dd7b",8,"35.00",10,"2025-02-08 01:06:40.955"
43,"660ac907-9161-42da-8ca9-66641e7d9130",8,"17.60",9,"2025-02-08 01:33:31.185"
44,"3ec215f0-38d0-4f87-a365-0748b041b34f",7,"17.60",9,"2025-02-08 01:37:36.025"
45,"2a6b30c4-6317-4eea-a2c7-db86cb8246a3",5,"0.00",11,"2025-02-11 23:30:55.12"
46,"bf613fef-3fe5-419f-8cb3-cd109de9037b",5,"0.00",11,"2025-02-11 23:31:06.42"
47,"0935fc40-ad6c-4858-a2b9-b01fa95b2e4f",10,"30.00",4,"2025-02-14 13:00:24.659"
48,"26d6f16f-4e4e-457c-89f2-7bbf27e49721",10,"40.00",4,"2025-02-14 13:03:14.73"
49,"534cefa2-a2c8-4b5e-829e-86e5db0e6e71",10,"45.00",4,"2025-02-14 13:06:50.714"
50,"a99255d7-8301-4f4c-83a7-ce7c32cca974",10,"45.00",4,"2025-02-14 13:11:09.906"
51,"f5b7e521-1dc2-4f97-9c0e-400ac4a3d2db",6,"40.00",3,"2025-02-14 13:18:23.619"
52,"9d94d3b1-63d6-4ff4-926c-060941991ba4",6,"50.00",3,"2025-02-14 13:20:56.996"
53,"69287638-dcc6-42cf-80ee-259cf8f6b10c",4,"50.00",3,"2025-02-14 13:24:34.608"
54,"86606af7-5214-43e0-b7e3-68b9b460bf92",4,"30.00",3,"2025-02-14 13:24:41.799"
55,"ce989570-09b8-4830-884d-ae6fe5d07b1b",4,"40.00",3,"2025-02-14 13:28:14.01"
56,"9900e658-2757-4d24-9211-5d6e4c47d020",6,"10.00",6,"2025-02-14 13:30:13.676"
57,"d5a12549-b011-4c5b-919b-833ddc68cd4b",6,"25.00",6,"2025-02-14 13:32:28.024"
58,"639c07a9-6588-4a77-84f9-5be5c2a202d5",4,"25.00",6,"2025-02-14 13:33:57.508"
59,"5ce2d12a-ae43-4351-8645-bbc4fe82eea1",2,"20.00",6,"2025-02-14 13:34:08.778"
